price,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathroom_qty,bathroom_type,mrtDisp,nearestMRT,cityDisp
200.0,1.29407,103.8284,Apartment,Private room,2,1.0,1.0,1,baths,0.8509097980915528,Tiong Bahru,2.68327556119573
59.0,1.28843,103.80247,Apartment,Private room,2,5.0,5.0,3,shared,0.8110963370232377,Queenstown,5.314473617405594
62.0,1.33303,103.72607,Condominium,Private room,3,1.0,1.0,1,private,1.271985536760451,Chinese Garden,14.845152026139608
50.0,1.31461,103.88467,Apartment,Private room,2,1.0,1.0,1,private,0.29656045042139023,Aljunied,5.193783138911103
500.0,1.38536,103.89662,Condominium,Private room,2,1.0,1.0,1,private,0.4491846220458477,Buangkok,12.47591401174372
100.0,1.31519,103.85735,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.3922267761067724,Farrer Park,3.638928995429329
90.0,1.30298,103.85774,Apartment,Private room,3,1.0,2.0,8,baths,0.3236173963398469,Bugis,2.3513999791537805
59.0,1.3073,103.86344,Apartment,Private room,1,1.0,1.0,3,shared,0.044186819645928306,Lavender,3.0584535660881955
188.0,1.41142,103.8426,Home,Private room,2,1.0,2.0,1,baths,1.2591870675136183,Khatib,14.270043812255164
59.0,1.30751,103.86163,Apartment,Private room,1,1.0,1.0,3,shared,0.16969196394469838,Lavender,2.9863940538037133
75.0,1.31555,103.85649,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.36642428620758877,Farrer Park,3.6578972272291725
65.0,1.31271,103.85702,Apartment,Private room,1,1.0,1.0,1,private,0.2388092280674531,Farrer Park,3.362071489223626
55.0,1.39863,103.90624,Apartment,Private room,2,1.0,1.0,1,private,0.8471129302006555,Punggol,14.266902186404634
37.0,1.28872,103.80408,Apartment,Private room,1,1.0,1.0,3,shared,0.7128949422033036,Queenstown,5.140245219226436
60.0,1.31372,103.87098,Apartment,Private room,1,1.0,1.0,1,shared,0.2471666134988687,Kallang,4.10867063023172
88.0,1.30634,103.90207,Home,Private room,3,1.0,2.0,1,shared,1.4913936362040026,Dakota,6.33005965387598
49.0,1.30743,103.86305,Apartment,Private room,1,1.0,1.0,3,shared,0.020085494431162202,Lavender,3.050217789828271
50.0,1.30928,103.86342,Apartment,Private room,1,1.0,1.0,3,shared,0.19164295087843503,Lavender,3.2513194784663906
49.0,1.3075,103.86268,Apartment,Private room,1,1.0,1.0,3,shared,0.053493561679090966,Lavender,3.0377637625890426
47.0,1.30627,103.86415,Apartment,Private room,1,1.0,1.0,3,shared,0.182636319143384,Lavender,2.999673892974851
