price,latitude,longitude,property_type,room_type,bedrooms,beds,bathroom_qty,bathroom_type
24.0,1.31114,103.86054,Hotel,Hotel room,1.0,16.0,6.0,baths
24.0,1.31129,103.86064,Hotel,Hotel room,1.0,16.0,6.0,baths
24.0,1.31114,103.86054,Hotel,Shared room,1.0,16.0,6.0,shared
100.0,1.29301,103.8416,Apartment,Entire home/apt,1.0,1.0,1.0,baths
24.0,1.31114,103.86054,Hotel,Shared room,1.0,16.0,6.0,shared
47.0,1.31114,103.86054,Hotel,Hotel room,1.0,16.0,6.0,baths
42.0,1.31114,103.86054,Hotel,Hotel room,1.0,16.0,6.0,baths
212.0,1.44165,103.82416,House,Private room,1.0,1.0,1.0,private
190.0,1.3106,103.93315,Apartment,Entire home/apt,1.0,5.0,2.0,baths
57.0,1.31395,103.88547,Apartment,Private room,1.0,1.0,1.0,baths
43.0,1.31226,103.88615,Apartment,Shared room,1.0,1.0,1.0,shared
134.0,1.31363,103.90559,Apartment,Private room,1.0,1.0,1.0,private
130.0,1.28164,103.85174,Apartment,Entire home/apt,1.0,1.0,1.0,baths
69.0,1.284,103.84346,Apartment,Private room,1.0,1.0,1.0,private
255.0,1.31255,103.8603,Apartment,Entire home/apt,1.0,2.0,1.0,baths
388.0,1.33051,103.7949,Apartment,Entire home/apt,1.0,2.0,1.0,baths
50.0,1.32334,103.85306,Apartment,Private room,1.0,1.0,1.0,baths
70.0,1.33916,103.77971,Apartment,Private room,1.0,2.0,1.0,baths
30.0,1.44347,103.80081,Apartment,Private room,1.0,1.0,0.0,baths
110.0,1.31222,103.91403,Apartment,Entire home/apt,2.0,2.0,1.0,baths
110.0,1.31106,103.88209,Hotel,Private room,1.0,1.0,1.0,shared
212.0,1.44347,103.8235,House,Private room,1.0,1.0,1.0,private
120.0,1.44516,103.82145,House,Private room,1.0,1.0,1.0,baths
120.0,1.44412,103.82205,Apartment,Private room,1.0,1.0,1.0,private
200.0,1.36628,103.83075,Apartment,Entire home/apt,3.0,3.0,2.0,baths
37.0,1.33007,103.87554,Apartment,Private room,1.0,1.0,1.0,private
40.0,1.30424,103.84876,Apartment,Shared room,1.0,8.0,0.0,baths
100.0,1.2813,103.85172,Apartment,Private room,1.0,1.0,1.0,private
200.0,1.3466,103.75154,Apartment,Private room,1.0,1.0,1.0,baths
77.0,1.30234,103.79982,Apartment,Private room,1.0,2.0,2.0,shared
53.0,1.39857,103.74785,Apartment,Private room,1.0,3.0,1.0,private
386.0,1.28028,103.85184,Apartment,Entire home/apt,1.0,1.0,1.0,baths
214.0,1.31021,103.91269,Apartment,Private room,1.0,1.0,1.0,baths
214.0,1.31245,103.91127,Apartment,Private room,1.0,1.0,1.0,baths
97.0,1.32152,103.84301,Apartment,Private room,1.0,1.0,1.0,private
119.0,1.3063,103.90294,Apartment,Entire home/apt,2.0,3.0,1.0,baths
200.0,1.32332,103.91659,House,Private room,1.0,2.0,1.0,private
180.0,1.32337,103.91468,House,Private room,1.0,1.0,1.0,private
170.0,1.32381,103.91678,Apartment,Private room,1.0,1.0,1.0,private
69.0,1.28783,103.80346,Apartment,Private room,1.0,1.0,3.0,shared
112.0,1.28184,103.84892,Apartment,Entire home/apt,1.0,1.0,1.0,baths
112.0,1.28215,103.84855,Apartment,Entire home/apt,1.0,1.0,1.0,baths
105.0,1.28213,103.84852,Apartment,Entire home/apt,1.0,1.0,1.0,baths
238.0,1.28169,103.85168,Apartment,Entire home/apt,1.0,1.0,1.0,baths
85.0,1.4483,103.78932,Apartment,Private room,1.0,1.0,1.0,shared
44.0,1.36263,103.88299,Apartment,Private room,1.0,1.0,1.0,shared
44.0,1.36219,103.88276,Apartment,Entire home/apt,1.0,1.0,2.0,baths
60.0,1.40088,103.91,Apartment,Private room,1.0,1.0,1.0,shared
183.0,1.2814,103.78592,Apartment,Private room,1.0,1.0,1.0,shared
80.0,1.28205,103.85301,Apartment,Private room,1.0,1.0,1.0,shared
137.0,1.29896,103.86146,Apartment,Entire home/apt,1.0,3.0,1.0,baths
59.0,1.31027,103.85642,Hotel,Shared room,1.0,12.0,8.0,shared
26.0,1.31082,103.85366,Hotel,Shared room,1.0,16.0,7.0,shared
40.0,1.28567,103.8416,Apartment,Private room,1.0,1.0,2.0,shared
97.0,1.32893,103.90497,Apartment,Entire home/apt,1.0,1.0,1.0,baths
