host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,latitude,longitude,availability_30,availability_90,availability_365,property_type,room_type,accommodates,bedrooms,beds,instant_bookable,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,calculated_host_listings_count,calculated_host_listings_count_private_rooms,bathroom_qty,bathroom_type,Long term stays allowed,Television,Heater,Internet,Air Conditioning,Essentials,Swimming Pool,Washer,Refrigerator,Cooking basics,Gym,Bathtub,Coffee,Clothing storage,Garden,Elevator,Security Lock,Patio or balcony,BBQ Grill,Sound system,name_len,desc_len,mrtDisp,nearestMRT,cityDisp
within an hour,1.0,1.0,f,t,t,Outram,Central Region,1.28405,103.84424,1.0,1.0,0.6520547945205479,Hotel,Hotel room,6,1.0,6.0,f,378.0,2,0.02,4.5,4.5,5,0,0.0,baths,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,151,0.0891686521400095,Chinatown,0.6457308950125067
within an hour,1.0,1.0,f,t,t,Outram,Central Region,1.28405,103.84424,1.0,1.0,0.6520547945205479,Hotel,Hotel room,1,1.0,1.0,f,63.0,93,0.88,4.67,4.66,5,0,0.0,baths,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,134,0.0891686521400095,Chinatown,0.6457308950125067
within a few hours,0.9,1.0,f,t,t,Outram,Central Region,1.28466,103.84255,0.0,0.5666666666666667,0.8931506849315068,Apartment,Private room,1,1.0,1.0,t,48.0,0,0.0,0.0,0.0,74,73,1.0,private,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,154,0.12007164279263412,Chinatown,0.8418887259226411
unknown,0.8849536231883985,0.7301176800224078,f,t,f,Bedok,East Region,1.31805,103.92361,1.0,1.0,1.0,House,Private room,1,1.0,1.0,t,95.0,0,0.0,0.0,0.0,3,3,0.0,baths,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,153,0.9907410283752631,Bedok,9.049395977259582
within a day,0.9,1.0,f,t,t,Geylang,Central Region,1.31612,103.88343,0.0,0.5555555555555556,0.8904109589041096,Apartment,Private room,1,1.0,1.0,t,59.0,1,0.01,5.0,5.0,97,95,3.0,shared,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,155,0.08404645609252173,Aljunied,5.208563550700268
unknown,0.8849536231883985,0.7301176800224078,f,t,f,Bedok,East Region,1.3209,103.91569,0.0,0.044444444444444446,0.2602739726027397,Apartment,Private room,1,1.0,1.0,f,49.0,3,0.03,4.67,5.0,3,3,1.0,baths,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,157,0.2511371312480553,Kembangan,8.41468920501725
unknown,0.8849536231883985,0.7301176800224078,f,t,f,Bedok,East Region,1.32204,103.92125,0.0,0.1111111111111111,0.27671232876712326,Apartment,Private room,2,1.0,1.0,f,60.0,2,0.03,5.0,4.5,3,3,1.0,baths,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,160,0.876671147578475,Kembangan,9.01621808076038
within a day,0.57,0.86,f,t,t,Downtown Core,Central Region,1.27525,103.84524,0.7666666666666667,0.9222222222222223,0.9808219178082191,Apartment,Private room,4,1.0,1.0,t,119.0,77,0.74,4.51,4.63,3,3,1.0,shared,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7,143,0.21188496040924534,Tanjong Pagar,1.0398304141675612
unknown,0.8849536231883985,0.7301176800224078,f,t,f,Bedok,East Region,1.32301,103.92211,0.0,0.044444444444444446,0.2602739726027397,Apartment,Private room,1,1.0,1.0,f,68.0,5,0.05,4.8,5.0,3,3,1.0,baths,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,157,0.9071852756675469,Bedok,9.151866170390315
unknown,0.8849536231883985,0.7301176800224078,f,t,f,Bedok,East Region,1.31963,103.924,0.0,0.0,0.0,Apartment,Private room,1,1.0,4.0,f,95.0,0,0.0,0.0,0.0,3,3,4.0,baths,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,123,0.8465159948297925,Bedok,9.164690000460952
a few days or more,0.0,0.7301176800224078,f,t,t,Novena,Central Region,1.32453,103.85255,0.7666666666666667,0.9222222222222223,0.4767123287671233,Apartment,Private room,1,1.0,2.0,t,343.0,2,0.02,3.5,3.0,2,2,2.0,baths,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,143,1.0440179670902228,Toa Payoh,4.593328701998819
within an hour,1.0,0.7301176800224078,f,t,t,Bedok,East Region,1.31936,103.91663,0.0,0.0,0.6958904109589041,House,Entire home/apt,5,1.0,3.0,f,139.0,369,3.49,4.93,4.94,1,0,1.0,baths,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,154,0.3993502478424414,Kembangan,8.422680941497397
within an hour,1.0,0.67,f,t,t,Hougang,North-East Region,1.36722,103.89765,0.0,0.1111111111111111,0.7808219178082192,Apartment,Private room,1,1.0,1.0,f,50.0,14,0.15,4.79,4.5,2,2,2.0,shared,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6,128,0.7349930262602233,Hougang,10.730108595401616
